Type,SKU,Name,Published,Parent,"Is featured?","Visibility in catalog","Short description",Description,"In stock?",Stock,Weight,Length,Width,Height,"Sale price","Regular price",Categories,Images,"Attribute 1 name","Attribute 1 value (s)","Attribute 1 visible","Attribute 1 global","Attribute 2 name","Attribute 2 value (s)","Attribute 2 visible","Attribute 2 global"
simple,MO9547-13,PARSELY,1,,0,visible,"Semi di prezzemolo","Sacchetto con semi di prezzemolo. Aggiungendo 300 ml di acqua si ottiene 1 litro di compost da giardino.",1,11859,"15,35","0,59","0,4","0,19",100,110,"MIDOCEANBRANDS > Sport & Ricreazione > All'aria aperta > Giardinaggio","https://cdn1.midocean.com/image/700X700/mo9547-13.jpg,https://cdn1.midocean.com/image/700X700/mo9547-13.jpg,https://cdn1.midocean.com/image/700X700/mo9547-13a.jpg,https://cdn1.midocean.com/image/700X700/mo9547-13c.jpg",,,,,,,,
variable,MO9549-03,"NOTES FOLDER",1,,,visible,"Cartella A4 con blocco","Cartella A4 con zip in poliestere bicolore. Contiene scomparti interni e portapenna. Include un blocco a righe da 20 pagine.",1,1381,"12,4","0,495","0,285","0,37",100,110,"MIDOCEANBRANDS > Ufficio & Scrittura > Portadocumenti > Per conferenza","https://cdn1.midocean.com/image/700X700/mo9549-03.jpg,https://cdn1.midocean.com/image/700X700/mo9549-03.jpg,https://cdn1.midocean.com/image/700X700/mo9549-03a.jpg,https://cdn1.midocean.com/image/700X700/mo9549-03b.jpg",Color,"black, grey",1,1,Size,,1,1
variation,MO9549-07,"NOTES FOLDER",1,MO9549-03,0,visible,"Cartella A4 con blocco","Cartella A4 con zip in poliestere bicolore. Contiene scomparti interni e portapenna. Include un blocco a righe da 20 pagine.",1,1491,"12,4","0,495","0,285","0,37",100,110,"MIDOCEANBRANDS > Ufficio & Scrittura > Portadocumenti > Per conferenza","https://cdn1.midocean.com/image/700X700/mo9549-03.jpg,https://cdn1.midocean.com/image/700X700/mo9549-03.jpg,https://cdn1.midocean.com/image/700X700/mo9549-03a.jpg,https://cdn1.midocean.com/image/700X700/mo9549-03b.jpg",Color,grey,1,1,Size,,1,1
simple,MO9550-07,"WATER 2 GO",1,,0,visible,"Zaino sportivo c/sacca d'acqua","Zaino sportivo con sacca d'acqua da 2L. Prodotto in polycanvas, poliestere 600D e con rivestimento 210D. Tracolla regolabile in rete.",1,1927,"10,55","0,38","0,37","0,44",100,110,"MIDOCEANBRANDS > Borse & Viaggi > Zaini & Viaggi > Zaini","https://cdn1.midocean.com/image/700X700/mo9550-07.jpg,https://cdn1.midocean.com/image/700X700/mo9550-07.jpg,https://cdn1.midocean.com/image/700X700/mo9550-07e.jpg,https://cdn1.midocean.com/image/700X700/mo9550-07a.jpg,https://cdn1.midocean.com/image/700X700/mo9550-07c.jpg,https://cdn1.midocean.com/image/700X700/mo9550-07-ambiant.jpg,https://cdn1.midocean.com/image/700X700/mo9550-07d.jpg",,,,,,,,
variable,MO9551-03,T-DRAW,1,,,visible,"Sacca a forma di maglietta","Sacca a forma di maglietta in poliestere 210D, con coulisse. Ideale per qualsiasi evento sportivo. Stampa in sublimazione disponibile sono sull’articolo di colore bianco.",1,1812,"8,15","0,55","0,46","0,305",100,110,"MIDOCEANBRANDS > Borse & Viaggi > Zaini & Viaggi > Sacche","https://cdn1.midocean.com/image/700X700/mo9551-03.jpg,https://cdn1.midocean.com/image/700X700/mo9551-03.jpg,https://cdn1.midocean.com/image/700X700/mo9551-03a.jpg",Color,"black, red, white, orange, royal blue, lime",1,1,Size,,1,1
variation,MO9551-05,T-DRAW,1,MO9551-03,0,visible,"Sacca a forma di maglietta","Sacca a forma di maglietta in poliestere 210D, con coulisse. Ideale per qualsiasi evento sportivo. Stampa in sublimazione disponibile sono sull’articolo di colore bianco.",1,5403,"8,15","0,55","0,46","0,305",100,110,"MIDOCEANBRANDS > Borse & Viaggi > Zaini & Viaggi > Sacche","https://cdn1.midocean.com/image/700X700/mo9551-03.jpg,https://cdn1.midocean.com/image/700X700/mo9551-03.jpg,https://cdn1.midocean.com/image/700X700/mo9551-03a.jpg",Color,red,1,1,Size,,1,1
variation,MO9551-06,T-DRAW,1,MO9551-03,0,visible,"Sacca a forma di maglietta","Sacca a forma di maglietta in poliestere 210D, con coulisse. Ideale per qualsiasi evento sportivo. Stampa in sublimazione disponibile sono sull’articolo di colore bianco.",1,1698,"8,15","0,55","0,46","0,305",100,110,"MIDOCEANBRANDS > Borse & Viaggi > Zaini & Viaggi > Sacche","https://cdn1.midocean.com/image/700X700/mo9551-03.jpg,https://cdn1.midocean.com/image/700X700/mo9551-03.jpg,https://cdn1.midocean.com/image/700X700/mo9551-03a.jpg",Color,white,1,1,Size,,1,1
variation,MO9551-10,T-DRAW,1,MO9551-03,0,visible,"Sacca a forma di maglietta","Sacca a forma di maglietta in poliestere 210D, con coulisse. Ideale per qualsiasi evento sportivo. Stampa in sublimazione disponibile sono sull’articolo di colore bianco.",1,2624,"8,15","0,55","0,46","0,305",100,110,"MIDOCEANBRANDS > Borse & Viaggi > Zaini & Viaggi > Sacche","https://cdn1.midocean.com/image/700X700/mo9551-03.jpg,https://cdn1.midocean.com/image/700X700/mo9551-03.jpg,https://cdn1.midocean.com/image/700X700/mo9551-03a.jpg",Color,orange,1,1,Size,,1,1
variation,MO9551-37,T-DRAW,1,MO9551-03,0,visible,"Sacca a forma di maglietta","Sacca a forma di maglietta in poliestere 210D, con coulisse. Ideale per qualsiasi evento sportivo. Stampa in sublimazione disponibile sono sull’articolo di colore bianco.",1,4652,"8,15","0,55","0,46","0,305",100,110,"MIDOCEANBRANDS > Borse & Viaggi > Zaini & Viaggi > Sacche","https://cdn1.midocean.com/image/700X700/mo9551-03.jpg,https://cdn1.midocean.com/image/700X700/mo9551-03.jpg,https://cdn1.midocean.com/image/700X700/mo9551-03a.jpg",Color,"royal blue",1,1,Size,,1,1
variation,MO9551-48,T-DRAW,1,MO9551-03,0,visible,"Sacca a forma di maglietta","Sacca a forma di maglietta in poliestere 210D, con coulisse. Ideale per qualsiasi evento sportivo. Stampa in sublimazione disponibile sono sull’articolo di colore bianco.",1,151,"8,15","0,55","0,46","0,305",100,110,"MIDOCEANBRANDS > Borse & Viaggi > Zaini & Viaggi > Sacche","https://cdn1.midocean.com/image/700X700/mo9551-03.jpg,https://cdn1.midocean.com/image/700X700/mo9551-03.jpg,https://cdn1.midocean.com/image/700X700/mo9551-03a.jpg",Color,lime,1,1,Size,,1,1
